mk_individual_id,PersonID,mk_individual_name,mk_individual_first_name,LastName,FirstName,IsCurrent,altnames
677,2674,תלמי,מאיר,תלמי,מאיר,False,"[""מאיר תלמי""]"
678,2675,תמיר,יוסף,תמיר,יוסף,False,"[""יוסף תמיר""]"
679,2676,תמיר,שמואל,תמיר,שמואל,False,"[""שמואל תמיר""]"
759,3175,גולן,אראלה,גולן,אראלה,False,"[""אראלה גולן""]"
698,3256,גרי,יעקב מאיר,גרי,יעקב מאיר,False,"[""יעקב מאיר גרי""]"
701,3257,דולצ'ין,אריה,דולצ'ין,אריה,False,"[""אריה דולצ'ין""]"
700,3258,טולידאנו,יעקב משה,טולידאנו,יעקב משה,False,"[""יעקב משה טולידאנו""]"
699,3259,כהן,חיים,כהן,חיים,False,"[""חיים כהן""]"
702,3260,כץ,ישראל,כץ,ישראל,False,"[""ישראל כץ""]"
706,3261,נאמן,יעקב,נאמן,יעקב,False,"[""יעקב נאמן""]"
705,3262,עמיטל,יהודה,עמיטל,יהודה,False,"[""יהודה עמיטל""]"
703,3263,שפירא,יוסף,שפירא,יוסף,False,"[""יוסף שפירא""]"
760,4035,רוזנבלום,פנינה,רוזנבלום,פנינה,False,"[""פנינה רוזנבלום""]"
761,4155,אילן,טובה,אילן,טובה,False,"[""טובה אילן""]"
762,4156,צור,רונן,צור,רונן,False,"[""רונן צור""]"
4175,4175,קורן,דני,קורן,דני,False,"[""דני קורן""]"
764,4217,טרטמן,אסתרינה,טרטמן,אסתרינה,False,"[""אסתרינה טרטמן""]"
4218,4218,אנג'ל,אורנה,אנג'ל,אורנה,False,"[""אורנה אנג'ל""]"
766,4235,דוברין,נטע,דוברין,נטע,False,"[""נטע דוברין""]"
789,4295,סוייד,חנא,סוייד,חנא,False,"[""חנא סוייד""]"
800,4297,צרצור,אברהים,צרצור,אברהים,False,"[""אברהים צרצור""]"
794,4298,איתן,רפי,איתן,רפי,False,"[""רפי איתן""]"
796,4299,בן-יזרי,יעקב,בן-יזרי,יעקב,False,"[""יעקב בן-יזרי""]"
803,4300,שרוני,משה,שרוני,משה,False,"[""משה שרוני""]"
